iter	Passed	Remaining
0	130	130755
1	132	66350
2	135	44932
3	137	34132
4	139	27669
5	141	23458
6	143	20372
7	145	18062
8	147	16255
9	149	14816
10	151	13621
11	153	12628
12	154	11766
13	156	11032
14	158	10402
15	159	9826
16	160	9304
17	162	8839
18	163	8424
19	164	8049
20	165	7706
21	166	7404
22	167	7120
23	168	6854
24	169	6604
25	170	6374
26	170	6161
27	171	5962
28	172	5776
29	173	5602
30	174	5439
31	174	5287
32	175	5143
33	176	5007
34	177	4880
35	177	4759
36	178	4645
37	179	4536
38	179	4432
39	180	4343
40	181	4253
41	182	4167
42	183	4084
43	184	4007
44	185	3930
45	186	3857
46	186	3786
47	187	3718
48	188	3652
49	188	3589
50	189	3530
51	190	3472
52	191	3416
53	191	3362
54	192	3311
55	193	3262
56	194	3214
57	195	3168
58	195	3123
59	196	3080
60	197	3037
61	198	2996
62	198	2957
63	199	2918
64	200	2880
65	201	2844
66	201	2809
67	202	2770
68	202	2737
69	203	2705
70	204	2674
71	205	2643
72	205	2613
73	206	2584
74	207	2556
75	208	2528
76	208	2502
77	209	2475
78	210	2450
79	210	2425
80	211	2401
81	212	2378
82	213	2356
83	214	2334
84	214	2309
85	215	2287
86	215	2264
87	216	2243
88	217	2223
89	217	2203
90	218	2185
91	219	2166
92	220	2148
93	221	2131
94	221	2113
95	222	2096
96	223	2079
97	224	2063
98	224	2047
99	225	2031
100	226	2016
101	226	1998
102	227	1983
103	228	1968
104	229	1954
105	230	1940
106	230	1926
107	231	1912
108	232	1900
109	233	1887
110	234	1874
111	234	1861
112	235	1849
113	236	1836
114	237	1824
115	237	1811
116	238	1800
117	239	1788
118	239	1776
119	240	1765
120	241	1754
121	242	1743
122	242	1730
123	243	1719
124	244	1709
125	245	1699
126	245	1690
127	246	1678
128	247	1668
129	247	1659
130	248	1649
131	249	1640
132	250	1631
133	250	1622
134	251	1613
135	252	1604
136	253	1595
137	253	1585
138	254	1578
139	255	1571
140	256	1564
141	257	1557
142	258	1550
143	259	1544
144	260	1537
145	262	1532
146	263	1526
147	264	1521
148	265	1517
149	266	1510
150	267	1503
151	268	1496
152	269	1489
153	270	1483
154	270	1476
155	271	1470
156	272	1465
157	273	1458
158	274	1452
159	275	1446
160	276	1439
161	277	1433
162	278	1427
163	278	1421
164	279	1415
165	280	1409
166	281	1403
167	282	1397
168	282	1391
169	283	1385
170	284	1379
171	285	1374
172	286	1368
173	287	1364
174	288	1358
175	289	1353
176	289	1347
177	290	1342
178	291	1336
179	292	1331
180	292	1324
181	293	1318
182	294	1313
183	295	1308
184	295	1303
185	296	1298
186	297	1293
187	298	1287
188	298	1282
189	299	1278
190	300	1274
191	302	1271
192	303	1267
193	304	1264
194	305	1260
195	306	1256
196	307	1251
197	307	1246
198	308	1242
199	309	1237
200	310	1233
201	311	1228
202	311	1224
203	312	1219
204	313	1215
205	314	1210
206	314	1206
207	315	1202
208	316	1197
209	317	1193
210	318	1190
211	319	1186
212	320	1182
213	320	1178
214	321	1174
215	322	1170
216	323	1165
217	323	1161
218	324	1158
219	325	1154
220	326	1150
221	327	1146
222	327	1142
223	328	1138
224	329	1134
225	330	1130
226	331	1127
227	331	1123
228	332	1120
229	333	1116
230	334	1112
231	335	1109
232	335	1105
233	336	1102
234	337	1098
235	338	1095
236	339	1092
237	340	1088
238	340	1085
239	341	1081
240	342	1078
241	343	1074
242	343	1071
243	344	1068
244	345	1065
245	346	1062
246	347	1059
247	348	1056
248	349	1053
249	350	1050
250	350	1047
251	351	1044
252	352	1040
253	353	1037
254	354	1034
255	355	1031
256	355	1028
257	356	1025
258	357	1022
259	358	1019
260	359	1016
261	359	1014
262	360	1011
263	361	1009
264	362	1006
265	363	1003
266	364	1000
267	365	998
268	366	995
269	367	992
270	368	990
271	368	987
272	369	984
273	370	981
274	371	979
275	372	976
276	373	973
277	373	971
278	374	968
279	375	966
280	376	964
281	377	962
282	378	959
283	379	957
284	380	954
285	381	951
286	382	949
287	382	946
288	383	944
289	384	941
290	385	938
291	386	936
292	387	933
293	387	931
294	388	928
295	389	926
296	390	924
297	391	921
298	392	919
299	393	917
300	394	915
301	394	912
302	395	910
303	396	907
304	397	905
305	398	902
306	398	900
307	399	898
308	400	895
309	401	893
310	402	891
311	403	888
312	403	886
313	404	884
314	405	882
315	406	879
316	407	877
317	408	875
318	409	873
319	410	871
320	410	869
321	411	866
322	412	864
323	413	862
324	414	860
325	415	858
326	415	855
327	416	853
328	417	851
329	418	849
330	419	846
331	419	844
332	420	842
333	421	840
334	422	838
335	422	835
336	423	833
337	424	831
338	425	829
339	426	827
340	427	825
341	427	823
342	428	821
343	429	818
344	430	816
345	431	814
346	431	812
347	432	810
348	433	808
349	434	806
350	435	804
351	436	802
352	437	801
353	437	798
354	438	796
355	439	794
356	440	792
357	441	791
358	441	789
359	442	787
360	443	785
361	444	783
362	445	781
363	445	779
364	446	777
365	447	775
366	448	773
367	449	771
368	450	769
369	450	767
370	451	765
371	452	764
372	453	762
373	454	760
374	455	758
375	455	756
376	456	754
377	457	752
378	458	751
379	459	749
380	459	747
381	460	745
382	461	743
383	462	741
384	463	740
385	464	738
386	465	736
387	466	735
388	466	733
389	467	731
390	468	729
391	469	728
392	470	726
393	471	724
394	472	723
395	472	721
396	473	719
397	474	718
398	475	716
399	476	714
400	477	712
401	478	711
402	479	709
403	479	708
404	480	706
405	481	704
406	482	703
407	483	701
408	484	699
409	485	698
410	486	696
411	486	694
412	487	693
413	488	691
414	489	689
415	490	688
416	491	686
417	492	685
418	493	683
419	494	682
420	494	680
421	495	678
422	496	677
423	497	675
424	498	674
425	499	672
426	500	671
427	500	669
428	501	667
429	502	666
430	503	664
431	504	663
432	505	661
433	506	660
434	507	658
435	507	657
436	508	655
437	509	654
438	510	652
439	511	650
440	512	649
441	513	647
442	513	646
443	514	644
444	515	643
445	516	641
446	517	639
447	518	638
448	518	636
449	519	635
450	520	634
451	521	632
452	522	631
453	523	630
454	524	628
455	525	626
456	526	625
457	527	623
458	527	622
459	528	620
460	529	619
461	530	617
462	531	616
463	532	614
464	532	613
465	533	611
466	534	610
467	535	608
468	536	607
469	537	606
470	538	604
471	539	603
472	540	601
473	540	600
474	542	599
475	543	598
476	544	596
477	545	595
478	546	594
479	547	592
480	547	591
481	548	589
482	549	588
483	550	586
484	551	585
485	552	583
486	552	582
487	553	581
488	554	579
489	555	578
490	556	576
491	557	575
492	558	574
493	559	572
494	560	571
495	561	570
496	562	568
497	563	567
498	564	566
499	564	564
500	565	563
501	566	562
502	567	560
503	568	559
504	569	558
505	570	556
506	571	555
507	571	553
508	572	552
509	573	551
510	574	549
511	575	548
512	576	547
513	577	545
514	578	544
515	578	543
516	579	541
517	580	540
518	581	538
519	582	537
520	583	536
521	584	534
522	584	533
523	585	532
524	586	530
525	587	529
526	588	528
527	589	526
528	589	525
529	590	523
530	591	522
531	592	521
532	593	519
533	594	518
534	594	517
535	595	515
536	596	514
537	597	512
538	598	511
539	598	510
540	599	508
541	600	507
542	601	505
543	601	504
544	602	503
545	603	501
546	604	500
547	605	499
548	605	497
549	606	496
550	607	494
551	608	493
552	608	492
553	609	490
554	610	489
555	611	488
556	612	486
557	612	485
558	613	483
559	614	482
560	615	481
561	615	480
562	616	478
563	617	477
564	618	476
565	618	474
566	619	473
567	620	471
568	621	470
569	621	469
570	622	467
571	623	466
572	624	465
573	624	463
574	625	462
575	626	461
576	627	459
577	627	458
578	628	457
579	629	455
580	630	454
581	631	453
582	631	451
583	632	450
584	633	449
585	634	448
586	634	446
587	635	445
588	636	444
589	637	442
590	638	441
591	638	440
592	639	439
593	640	437
594	641	436
595	642	435
596	643	434
597	643	432
598	644	431
599	645	430
600	646	429
601	647	427
602	648	426
603	648	425
604	649	424
605	650	422
606	651	421
607	652	420
608	652	419
609	653	417
610	654	416
611	655	415
612	656	414
613	657	413
614	657	411
615	658	410
616	659	409
617	660	408
618	661	407
619	662	405
620	663	404
621	663	403
622	664	402
623	665	401
624	666	399
625	667	398
626	667	397
627	668	396
628	669	394
629	670	393
630	671	392
631	672	391
632	673	390
633	674	389
634	676	388
635	677	387
636	678	386
637	678	385
638	679	383
639	680	382
640	681	381
641	682	380
642	682	379
643	683	377
644	684	376
645	685	375
646	686	374
647	686	373
648	687	371
649	688	370
650	689	369
651	689	368
652	690	367
653	691	365
654	692	364
655	693	363
656	693	362
657	694	361
658	695	359
659	696	358
660	697	357
661	697	356
662	698	355
663	699	353
664	700	352
665	701	351
666	702	350
667	702	349
668	703	348
669	704	347
670	705	345
671	706	344
672	707	343
673	708	342
674	708	341
675	709	340
676	710	339
677	711	337
678	712	336
679	713	335
680	714	334
681	715	333
682	716	332
683	717	331
684	717	330
685	718	329
686	719	327
687	720	326
688	721	325
689	722	324
690	723	323
691	724	322
692	724	321
693	725	319
694	726	318
695	727	317
696	728	316
697	729	315
698	730	314
699	731	313
700	731	312
701	732	311
702	733	309
703	734	308
704	735	307
705	735	306
706	736	305
707	737	304
708	738	303
709	739	302
710	740	300
711	741	299
712	742	298
713	743	297
714	743	296
715	744	295
716	745	294
717	746	293
718	747	291
719	747	290
720	748	289
721	749	288
722	750	287
723	751	286
724	751	285
725	752	284
726	753	282
727	754	281
728	755	280
729	755	279
730	756	278
731	757	277
732	758	276
733	758	275
734	759	273
735	760	272
736	761	271
737	761	270
738	762	269
739	763	268
740	764	267
741	764	265
742	765	264
743	766	263
744	767	262
745	767	261
746	768	260
747	769	259
748	770	258
749	771	257
750	771	255
751	772	254
752	773	253
753	773	252
754	774	251
755	775	250
756	776	249
757	776	248
758	777	246
759	778	245
760	779	244
761	780	243
762	780	242
763	781	241
764	782	240
765	783	239
766	784	238
767	784	237
768	785	235
769	786	234
770	787	233
771	788	232
772	788	231
773	789	230
774	790	229
775	791	228
776	791	227
777	792	226
778	793	225
779	794	223
780	794	222
781	795	221
782	796	220
783	797	219
784	798	218
785	799	217
786	800	216
787	800	215
788	801	214
789	802	213
790	803	212
791	804	211
792	805	210
793	805	209
794	806	208
795	807	206
796	808	205
797	809	204
798	810	203
799	810	202
800	811	201
801	812	200
802	813	199
803	814	198
804	814	197
805	815	196
806	816	195
807	817	194
808	818	193
809	818	192
810	819	191
811	820	190
812	821	188
813	822	187
814	823	186
815	824	185
816	825	184
817	825	183
818	826	182
819	827	181
820	828	180
821	829	179
822	830	178
823	831	177
824	831	176
825	832	175
826	833	174
827	834	173
828	835	172
829	835	171
830	836	170
831	837	169
832	838	168
833	839	167
834	839	165
835	840	164
836	844	164
837	845	163
838	846	162
839	847	161
840	847	160
841	848	159
842	849	158
843	850	157
844	850	156
845	851	155
846	852	153
847	853	152
848	854	151
849	855	150
850	856	149
851	856	148
852	857	147
853	858	146
854	859	145
855	860	144
856	860	143
857	861	142
858	862	141
859	863	140
860	864	139
861	864	138
862	865	137
863	866	136
864	867	135
865	868	134
866	868	133
867	869	132
868	870	131
869	871	130
870	872	129
871	872	128
872	873	127
873	874	126
874	875	125
875	875	123
876	876	122
877	877	121
878	878	120
879	878	119
880	879	118
881	880	117
882	881	116
883	882	115
884	883	114
885	883	113
886	884	112
887	885	111
888	886	110
889	887	109
890	887	108
891	888	107
892	889	106
893	890	105
894	891	104
895	891	103
896	892	102
897	893	101
898	894	100
899	895	99
900	895	98
901	896	97
902	897	96
903	898	95
904	899	94
905	899	93
906	900	92
907	901	91
